,index,club,id,first_name,last_name,country,real_position,jersey_num,birth_date,weight,height
35,35,Bastia,p83542,Thomas,Vincensini,France,Goalkeeper,1,1993-09-12,79,184
36,36,Bastia,p44136,Jean-Louis,Leca,France,Goalkeeper,16,1985-09-21,75,180
37,37,Bastia,p110143,Paul,Charruau,France,Goalkeeper,30,1993-07-12,85,186
38,38,Bastia,p16718,Alexis,Thébaux,France,Goalkeeper,30,1985-03-17,81,185
39,39,Bastia,p218507,Fodé,Camara,Guinea,Full Back,Unknown,1998-04-17,63,167
40,40,Bastia,p173242,Ismael Chester,Diallo,Côte d'Ivoire,Full Back,Unknown,1997-01-29,74,178
41,41,Bastia,p106884,Nicolas,Saint-Ruf,France,Central Defender,3,1992-10-24,83,187
42,42,Bastia,p50301,Abdelhamid,El Kaoutari,Morocco,Central Defender,4,1990-03-17,73,180
43,43,Bastia,p13439,Sébastien,Squillaci,France,Central Defender,5,1980-08-11,80,185
44,44,Bastia,p82725,Lindsay,Rose,France,Central Defender,17,1992-02-08,88,186
45,45,Bastia,p48469,Pierre,Bengtsson,Sweden,Full Back,20,1988-04-12,77,175
46,46,Bastia,p143685,Alexander,Djiku,France,Full Back,23,1994-08-09,74,182
47,47,Bastia,p37755,Florian,Marange,France,Full Back,28,1986-03-03,78,181
48,48,Bastia,p44140,Gilles,Cioni,France,Full Back,29,1984-06-14,65,165
49,49,Bastia,p243741,Hugo,Magnetti,France,Central Midfielder,Unknown,1998-05-30,72,173
50,50,Bastia,p250588,Sami,Ben Amar,Morocco,Unknown,Unknown,1998-03-02,78,185
51,51,Bastia,p81028,Sadio,Diallo,Guinea,Attacking Midfielder,2,1990-12-28,75,182
52,52,Bastia,p85351,Jerson,Cabral,Cape Verde Islands,Winger,7,1991-01-03,69,177
53,53,Bastia,p6751,Gaël,Danic,France,Winger,8,1981-11-19,65,176
54,54,Bastia,p170137,Allan,Saint-Maximin,France,Attacking Midfielder,10,1997-03-12,67,173
55,55,Bastia,p176983,Lyes,Houri,France,Central Midfielder,10,1996-01-19,71,175
56,56,Bastia,p105718,Lenny,Nangis,Guadeloupe,Winger,11,1994-03-24,73,172
57,57,Bastia,p146668,Abdoulaye,Keita,Mali,Central Midfielder,12,1994-01-05,75,175
58,58,Bastia,p51498,Mehdi,Mostefa,Algeria,Defensive Midfielder,14,1983-08-30,78,181
59,59,Bastia,p40808,Prince,Oniangué,Congo,Defensive Midfielder,15,1988-11-04,79,188
60,60,Bastia,p44138,Yannick,Cahuzac,France,Defensive Midfielder,18,1985-01-18,70,178
61,61,Bastia,p121596,Axel,Ngando,France,Unknown,19,1993-07-13,66,177
62,62,Bastia,p114531,Farid,Boulaya,Algeria,Attacking Midfielder,22,1993-02-25,69,179
63,63,Bastia,p215047,Lassana,Coulibaly,Mali,Central Midfielder,25,1996-04-10,75,175
64,64,Bastia,p232170,Geoffrey,Acheampong,Ghana,Striker,Unknown,1997-01-28,79,180
65,65,Bastia,p102765,Florian,Raspentino,France,Striker,9,1989-06-06,73,179
66,66,Bastia,p178492,Enzo,Crivelli,France,Striker,27,1995-02-06,79,184
67,67,Bastia,p200889,Julien,Romain,France,Striker,27,1996-02-23,74,184
68,68,Bordeaux,p200848,Paul,Bernardoni,France,Goalkeeper,Unknown,1997-04-18,78,190
69,69,Bordeaux,p6244,Cédric,Carrasso,France,Goalkeeper,16,1981-12-30,87,187
70,70,Bordeaux,p181439,Jerome,Prior,France,Goalkeeper,30,1995-08-08,86,187
71,71,Bordeaux,p433830,Over,Mandanda,France,Goalkeeper,40,1998-10-26,77,179
72,72,Bordeaux,p174892,Milan,Gajic,Serbia,Full Back,2,1996-01-28,75,178
73,73,Bordeaux,p59340,Diego,Contento,Germany,Full Back,3,1990-05-01,74,177
74,74,Bordeaux,p210228,Vukasin,Jovanovic,Serbia,Central Defender,4,1996-05-17,88,189
75,75,Bordeaux,p220325,Jules,Koundé,France,Central Defender,4,1998-11-12,70,178
76,76,Bordeaux,p82313,Nicolas,Pallois,France,Central Defender,5,1987-09-19,89,189
77,77,Bordeaux,p71797,Igor,Lewczuk,Poland,Central Defender,6,1985-05-30,88,189
78,78,Bordeaux,p12488,Jérémy,Toulalan,France,Central Defender,14,1983-09-10,86,183
79,79,Bordeaux,p164474,Youssouf,Sabaly,Senegal,Full Back,20,1993-03-05,67,173
80,80,Bordeaux,p199375,Cédric,Yambéré,Central African Republic,Unknown,21,1990-11-06,84,191
81,81,Bordeaux,p176443,Théo,Pellenard,France,Full Back,21,1994-03-04,78,184
82,82,Bordeaux,p116504,Pablo,Nascimento de Castro,Brazil,Central Defender,25,1991-06-21,86,188
83,83,Bordeaux,p203368,Frederic,Guilbert,France,Full Back,26,1994-12-24,70,178
84,84,Bordeaux,p424120,Olivier,Verdon,Benin,Central Defender,26,1995-10-05,85,190
85,85,Bordeaux,p121524,Maxime,Poundjé,France,Full Back,29,1992-08-16,74,180
86,86,Bordeaux,p203151,Kevin,Soni,Cameroon,Attacking Midfielder,Unknown,1998-04-17,76,183
87,87,Bordeaux,p171222,Mauro,Arambarri,Uruguay,Defensive Midfielder,8,1995-09-30,74,175
88,88,Bordeaux,p172870,Younes,Kaabouni,France,Central Midfielder,12,1995-05-23,66,179
89,89,Bordeaux,p48768,Younousse,Sankharé,Senegal,Central Midfielder,13,1989-09-10,80,184
90,90,Bordeaux,p49878,Abdou,Traore,Mali,Winger,15,1988-01-17,79,180
91,91,Bordeaux,p218005,Adam,Ounas,Algeria,Attacking Midfielder,17,1996-11-11,65,172
92,92,Bordeaux,p12057,Jaroslav,Plasil,Czech Republic,Central Midfielder,18,1982-01-05,71,184
93,93,Bordeaux,p195982,Valentín,Vada,Argentina,Attacking Midfielder,23,1996-03-06,71,175
94,94,Bordeaux,p213247,Daniel,Mancini,Argentina,Central Midfielder,28,1996-11-11,72,171
95,95,Bordeaux,p244182,Zaydou,Youssouf,France,Attacking Midfielder,28,1999-07-11,81,182
96,96,Bordeaux,p148011,Diego,Rolan,Uruguay,Striker,Unknown,1993-03-24,69,177
97,97,Bordeaux,p242768,Jorris,Romil,France,Striker,Unknown,1994-12-27,75,185
98,98,Bordeaux,p181092,Malcom Filipe,Silva de Oliveira,Brazil,Winger,7,1997-02-26,74,172
99,99,Bordeaux,p19500,Jérémy,Ménez,France,Second Striker,7,1987-05-07,77,181
100,100,Bordeaux,p176441,Thomas,Touré,Côte d'Ivoire,Second Striker,10,1993-12-27,73,175
101,101,Bordeaux,p193512,François,Kamano,Guinea,Winger,11,1996-05-02,77,175
102,102,Bordeaux,p18575,Nicolas,Maurice-Belay,France,Unknown,19,1985-04-19,80,182
103,103,Bordeaux,p167443,Gaetan,Laborde,France,Striker,24,1994-05-03,81,182
104,105,Caen,p9997,Rémy,Vercoutre,France,Goalkeeper,1,1980-06-26,78,185
105,106,Caen,p218071,Louis,Deschateaux,France,Unknown,16,1997-04-16,75,184
106,107,Caen,p45032,Matthieu,Dreyer,France,Unknown,40,1989-03-20,81,188
107,108,Caen,p120770,Paul,Reulet,France,Goalkeeper,40,1994-01-14,68,181
108,109,Caen,p205823,Florian,Le Joncour,France,Central Defender,3,1995-02-03,83,193
109,110,Caen,p12845,Alaeddine,Yahia,Tunisia,Central Defender,5,1981-09-26,81,187
110,111,Caen,p83724,Syam,Ben Youssef,Tunisia,Central Defender,13,1989-03-31,89,189
111,112,Caen,p50326,Emmanuel,Imorou,Benin,Full Back,15,1988-09-16,78,181
112,113,Caen,p119691,Jordan,Adeoti,Benin,Central Defender,18,1989-03-12,81,183
113,114,Caen,p37995,Mouhamadou,Dabo,France,Full Back,23,1986-11-28,65,176
114,116,Caen,p44287,Damien,Da Silva,France,Central Defender,28,1988-05-17,82,184
115,117,Caen,p44357,Romain,Genevois,Haiti,Central Defender,29,1987-10-28,79,182
116,118,Caen,p94181,Chaker,Alhadhur,Comoros Islands,Unknown,32,1991-12-04,65,172
117,119,Caen,p7103,Nicolas,Seube,France,Defensive Midfielder,2,1979-08-11,75,180
118,120,Caen,p97443,Ismael,Diomande,Côte d'Ivoire,Defensive Midfielder,4,1992-08-28,82,183
119,121,Caen,p86281,Jonathan,Delaplace,France,Central Midfielder,6,1986-03-20,68,167
120,122,Caen,p6596,Steed,Malbranque,France,Attacking Midfielder,10,1980-01-06,75,171
121,123,Caen,p42761,Vincent,Bessat,France,Wing Back,11,1985-11-08,73,178
122,124,Caen,p199666,Jean-Victor,Makengo,France,Unknown,17,1998-06-12,75,177
123,125,Caen,p119628,Jordan,N'Kololo,Congo DR,Attacking Midfielder,17,1992-11-09,78,183
124,126,Caen,p227763,Durel,Avounou,Congo,Defensive Midfielder,18,1997-09-25,71,179
125,127,Caen,p213335,Jordan,Leborgne,France,Wing Back,19,1995-09-29,63,173
126,128,Caen,p45082,Julien,Féret,France,Central Midfielder,25,1982-07-05,76,187
127,129,Caen,p215789,Valentin,Voisin,France,Defensive Midfielder,33,1996-06-19,73,181
128,130,Caen,p89179,Jeff,Louis,Haiti,Attacking Midfielder,34,1992-08-08,74,171
129,131,Caen,p420962,Jordan,Tell,France,Striker,Unknown,1997-06-10,74,185
130,132,Caen,p248687,Exauce,Ngassaki Ndongo,Congo,Unknown,Unknown,1997-01-30,70,182
131,133,Caen,p184095,Yann,Karamoh,France,Striker,7,1998-07-08,77,185
132,134,Caen,p50996,Ronny,Rodelin,France,Winger,10,1989-11-18,82,192
133,135,Caen,p119768,Christian,Kouakou,Côte d'Ivoire,Striker,13,1991-03-01,72,182
134,136,Caen,p58616,Herve,Bazile,Haiti,Winger,20,1990-03-18,78,182
135,137,Caen,p60319,Ivan,Santini,Croatia,Striker,26,1989-05-21,90,190
136,138,Caen,p154481,Pape,Sane,Senegal,Striker,35,1991-12-30,84,187
137,139,Dijon,p75987,Benjamin,Leroy,France,Goalkeeper,1,1989-04-07,74,184
138,140,Dijon,p151065,Enzo,Basilio,Italy,Goalkeeper,16,1994-10-03,Unknown,Unknown
139,141,Dijon,p110369,Bobby,Allain,France,Goalkeeper,16,1991-11-28,77,185
140,142,Dijon,p93619,Baptiste,Reynet,France,Goalkeeper,30,1990-10-28,85,185
141,143,Dijon,p121111,Ádám,Lang,Hungary,Central Defender,2,1993-01-17,81,185
142,144,Dijon,p44082,Arnold,Bouka Moutou,Congo,Full Back,3,1988-11-28,76,176
143,145,Dijon,p44312,Jordan,Loties,France,Central Defender,4,1984-08-05,82,190
144,146,Dijon,p241398,Oussama,Haddadi,Tunisia,Full Back,5,1992-01-28,85,184
145,147,Dijon,p228170,Valentin,Rosier,France,Full Back,19,1996-08-19,71,175
146,148,Dijon,p106263,Yunis,Abdelhamid,Morocco,Central Defender,21,1987-09-28,83,190
147,149,Dijon,p100955,Vincent,Rüfli,Switzerland,Full Back,23,1988-01-22,76,180
148,150,Dijon,p119679,Fouad,Chafik,Morocco,Full Back,26,1986-10-16,72,183
149,151,Dijon,p13939,Cedric,Varrault,France,Central Defender,27,1980-01-30,76,182
150,152,Dijon,p193425,Jessy,Benet,France,Central Midfielder,Unknown,1995-06-24,75,186
151,153,Dijon,p216702,Erwan,Maury,France,Defensive Midfielder,Unknown,1996-06-16,73,183
152,154,Dijon,p120811,Anthony,Belmonte,France,Defensive Midfielder,3,1995-10-16,72,185
153,155,Dijon,p228169,Guillaume,Sarrabayrouse,France,Unknown,6,1997-06-14,68,180
154,156,Dijon,p54413,Frederic,Sammaritano,France,Attacking Midfielder,7,1986-03-23,64,162
155,157,Dijon,p98746,Mehdi,Abeid,Algeria,Central Midfielder,8,1992-08-06,85,178
156,158,Dijon,p212325,Pierre,Lees-Melou,France,Unknown,8,1993-05-25,69,185
157,159,Dijon,p135290,Jeremie,Bela,Congo DR,Unknown,10,1993-04-08,71,173
158,160,Dijon,p51634,Marvin,Martin,France,Attacking Midfielder,13,1988-01-10,68,171
159,161,Dijon,p153014,Jordan,Marié,France,Defensive Midfielder,14,1991-09-29,73,177
160,162,Dijon,p8747,Florent,Balmont,France,Central Midfielder,15,1980-02-02,72,168
161,163,Dijon,p86158,Romain,Amalfitano,France,Attacking Midfielder,20,1989-08-27,71,175
162,164,Dijon,p154770,Chang-Hoon,Kwon,Korea Republic,Attacking Midfielder,22,1994-06-30,70,174
163,165,Dijon,p192278,Dylan,Bahamboula,Congo,Attacking Midfielder,24,1995-05-22,64,185
164,166,Dijon,p111911,Charly,Dutournier,France,Striker,Unknown,1994-05-15,68,183
165,167,Dijon,p208747,Mamadou,Thiam,Senegal,Unknown,Unknown,1995-03-20,82,180
166,168,Dijon,p44406,Yohann,Riviere,France,Unknown,7,1984-08-18,89,186
167,169,Dijon,p147577,Lois,Diony,France,Striker,9,1992-12-20,82,183
168,170,Dijon,p111265,Júlio,Tavares,Cape Verde Islands,Winger,11,1988-11-19,88,187
169,171,Guingamp,p44429,Johny,Placide,Haiti,Goalkeeper,Unknown,1988-01-29,89,181
170,172,Guingamp,p61741,Karl-Johan,Johnsson,Sweden,Goalkeeper,1,1990-01-28,84,189
171,173,Guingamp,p212887,Theo,Guivarch,France,Goalkeeper,16,1995-11-17,87,195
172,174,Guingamp,p37836,Romain,Salin,France,Goalkeeper,30,1984-07-29,71,185
173,175,Guingamp,p129478,Jordan,Ikoko,Congo DR,Full Back,2,1994-02-03,76,177
174,176,Guingamp,p111291,Fernando,Marçal de Oliveira,Brazil,Full Back,3,1989-02-19,74,178
175,177,Guingamp,p67100,Benjamin,Angoua,Côte d'Ivoire,Central Defender,4,1986-11-28,72,183
176,178,Guingamp,p102744,Baissama,Sankoh,Guinea,Full Back,6,1992-03-20,73,180
177,179,Guingamp,p78319,Dorian,Lévêque,France,Full Back,7,1989-11-22,72,182
178,180,Guingamp,p42714,Jérémy,Sorbon,France,Central Defender,15,1983-08-05,79,183
179,181,Guingamp,p28140,Jonathan,Martins Pereira,France,Central Defender,22,1986-01-30,78,182
180,182,Guingamp,p42722,Reynald,Lemaître,France,Full Back,25,1983-06-28,70,175
181,183,Guingamp,p102739,Christophe,Kerbrat,France,Central Defender,29,1986-08-02,74,185
182,184,Guingamp,p249455,Yvan,Inzoudine,France,Unknown,Unknown,1996-12-10,Unknown,Unknown
183,185,Guingamp,p423870,Matteo,Ahlinvi,France,Defensive Midfielder,Unknown,1999-07-02,68,183
184,186,Guingamp,p206873,Jonathan,Correia,France,Unknown,Unknown,1994-02-13,65,175
185,187,Guingamp,p39905,Moustapha,Diallo,Senegal,Defensive Midfielder,5,1986-05-14,78,192
186,188,Guingamp,p213940,Ludovic,Blas,France,Winger,7,1997-12-31,73,180
187,189,Guingamp,p45084,Lucas,Deaux,France,Central Midfielder,8,1988-12-26,82,188
188,190,Guingamp,p89038,Nicolas,Benezet,France,Winger,10,1991-02-24,65,170
189,191,Guingamp,p55343,Yannis,Salibur,France,Winger,19,1991-01-24,76,177
190,192,Guingamp,p12179,Étienne,Didot,France,Central Midfielder,22,1983-07-24,70,176
191,193,Guingamp,p201562,Marcus,Coco,France,Winger,24,1996-06-24,78,184
192,194,Guingamp,p44100,Thibault,Giresse,France,Central Midfielder,26,1981-05-25,69,172
193,195,Guingamp,p26896,Mathieu,Bodmer,France,Defensive Midfielder,27,1982-11-22,90,190
194,196,Guingamp,p220001,Jeremy,Livolant,France,Attacking Midfielder,31,1998-01-09,70,175
195,197,Guingamp,p189542,Alexandre,Mendy,France,Striker,9,1994-03-20,94,185
196,198,Guingamp,p49367,Sloan,Privat,France,Striker,11,1989-07-24,82,186
197,199,Guingamp,p54533,Nill,de Pauw,Belgium,Striker,12,1990-01-06,76,180
198,200,Guingamp,p223169,Sullivan,Martinet,France,Unknown,14,1996-07-01,69,174
199,201,Guingamp,p172918,Karim,Achahbar,Morocco,Striker,14,1996-01-03,70,182
200,202,Guingamp,p27675,Jimmy,Briand,France,Striker,23,1985-08-02,84,181
201,203,Lille,p13262,Vincent,Enyeama,Nigeria,Goalkeeper,Unknown,1982-08-29,87,182
202,204,Lille,p129487,Mike,Maignan,France,Goalkeeper,16,1995-07-03,89,191
203,205,Lille,p201559,Jean,Butez,France,Goalkeeper,30,1995-06-08,70,188
204,206,Lille,p244753,Valentin,Vanbaleghem,France,Unknown,Unknown,1996-10-09,73,184
205,207,Lille,p209171,Carlens,Arcus,Haiti,Unknown,Unknown,1996-06-28,75,180
206,208,Lille,p37439,Marko,Basa,Montenegro,Central Defender,Unknown,1982-12-29,86,190
207,209,Lille,p39804,Julian,Palmieri,France,Full Back,Unknown,1986-12-07,64,170
208,210,Lille,p60121,Sébastien,Corchia,France,Full Back,2,1990-11-01,69,176
209,211,Lille,p180124,Youssouf,Kone,Mali,Full Back,3,1995-07-05,71,174
210,212,Lille,p168097,Júnior,Alonso,Paraguay,Central Defender,3,1993-02-09,83,185
211,213,Lille,p226597,Gabriel,dos Santos Magalhães,Brazil,Central Defender,4,1997-12-19,78,190
212,214,Lille,p103155,Adama,Soumaoro,France,Central Defender,5,1992-06-18,93,186
213,215,Lille,p80342,Stoppila,Sunzu,Zambia,Central Defender,13,1989-06-22,80,189
214,216,Lille,p12656,Franck,Beria,France,Full Back,18,1983-05-23,76,177
215,217,Lille,p232174,Hamza,Mendyl,Morocco,Full Back,27,1997-10-21,73,179
216,218,Lille,p161039,Fares,Bahlouli,France,Central Midfielder,Unknown,1995-04-08,82,182
217,219,Lille,p213942,Alexis,Araujo,Portugal,Unknown,Unknown,1996-12-07,53,159
218,221,Lille,p83913,Éric,Bautheac,France,Winger,Unknown,1987-08-24,65,168
219,222,Lille,p128348,Ibrahim,Amadou,France,Defensive Midfielder,6,1993-04-06,81,183
220,223,Lille,p242600,Miguel Angelo,da Silva Rocha,Portugal,Central Midfielder,8,1994-11-10,80,185
221,224,Lille,p178003,Ricardo,Kishna,Netherlands,Winger,10,1995-01-04,77,183
222,225,Lille,p109653,Marcos Paulo,Mesquita Lopes,Portugal,Attacking Midfielder,17,1995-12-28,68,174
223,226,Lille,p245634,Valere,Pollet,France,Central Midfielder,17,1997-06-27,71,177
224,227,Lille,p103119,Soualiho,Meité,France,Central Midfielder,17,1994-03-17,80,187
225,228,Lille,p227127,Yves,Bissouma,Mali,Central Midfielder,21,1996-08-30,80,182
226,229,Lille,p18787,Rio,Mavuba,France,Central Midfielder,24,1984-03-08,74,172
227,230,Lille,p98788,Naim,Sliti,Tunisia,Winger,27,1992-07-27,76,173
228,231,Lille,p232175,Rominigue,Kouame,Mali,Full Back,29,1996-12-17,68,177
229,232,Lille,p52635,Ederzito António,Macedo Lopes,Portugal,Striker,Unknown,1987-12-22,81,190
230,233,Lille,p114534,Tallo,Gadji-Celi Carmel Junior,Côte d'Ivoire,Striker,Unknown,1992-12-21,77,185
231,235,Lille,p157728,Baptiste,Guillaume,Belgium,Striker,Unknown,1995-06-16,77,189
232,236,Lille,p193488,Anwar,El Ghazi,Netherlands,Winger,7,1995-05-03,90,189
233,237,Lille,p116628,Yassine,Benzia,Algeria,Attacking Midfielder,10,1994-09-08,76,178
234,238,Lille,p73879,Nicolas,de Preville,France,Striker,12,1991-01-08,77,177
235,239,Lille,p230337,Lebo,Mothiba,South Africa,Striker,18,1996-01-28,78,181
236,240,Lille,p232176,Martin,Terrier,France,Unknown,28,1997-03-04,71,184
237,241,Lorient,p220059,Anthony,Lamonge,France,Goalkeeper,Unknown,1996-04-04,80,184
238,242,Lorient,p54409,Paul,Delecroix,France,Goalkeeper,16,1988-10-14,77,184
239,243,Lorient,p86873,Benjamin,Lecomte,France,Goalkeeper,40,1991-04-26,78,186
240,244,Lorient,p168117,Yoann,Wachter,Gabon,Central Defender,Unknown,1992-04-07,65,177
241,245,Lorient,p198188,Erwin,Koffi,France,Full Back,2,1995-01-10,69,178
242,246,Lorient,p227217,Bradley,Mazikou,Congo,Unknown,3,1996-06-02,69,177
243,247,Lorient,p54408,Zargo,Toure,Senegal,Central Defender,5,1989-11-11,79,183
244,248,Lorient,p202967,Faiz,Selemani,Comoros Islands,Full Back,11,1993-11-14,65,182
245,249,Lorient,p37740,Michael,Ciani,France,Central Defender,13,1984-04-06,88,189
246,251,Lorient,p141017,Steven,Moreira,France,Full Back,20,1994-08-13,72,178
247,252,Lorient,p57129,Mathieu,Peybernes,France,Central Defender,23,1990-10-21,78,186
248,253,Lorient,p85565,Wesley,Lautoa,France,Central Defender,24,1987-08-25,87,182
249,254,Lorient,p67278,Vincent,Le Goff,France,Full Back,25,1989-10-15,68,177
250,255,Lorient,p57734,Pape,Paye,France,Full Back,29,1990-05-31,65,168
251,256,Lorient,p227300,Ibrahima Sory,Conté,Guinea,Central Defender,32,1996-04-03,82,191
252,257,Lorient,p242166,Matteo,Guendouzi,France,Central Midfielder,4,1999-04-14,64,185
253,258,Lorient,p51524,Francois,Bellugou,France,Defensive Midfielder,6,1987-04-25,74,188
254,259,Lorient,p27674,Arnold,Mvuemba,France,Defensive Midfielder,7,1985-01-28,67,172
255,260,Lorient,p166325,Carlos Miguel,Ribeiro Dias,Portugal,Central Midfielder,8,1993-02-26,82,185
256,261,Lorient,p218357,Alexis,Claude Maurice,France,Central Midfielder,10,1998-06-06,62,174
257,262,Lorient,p202459,Marvin,Gakpa,France,Unknown,11,1993-11-01,70,182
258,263,Lorient,p227326,Mohamed,Mara,Guinea,Winger,11,1996-12-12,64,176
259,264,Lorient,p67346,Walid,Mesloub,Algeria,Attacking Midfielder,17,1985-09-04,72,181
260,265,Lorient,p150172,Romain,Philippoteaux,France,Attacking Midfielder,19,1988-03-02,67,170
261,266,Lorient,p87215,Alhassan,Wakaso,Ghana,Defensive Midfielder,23,1992-01-07,80,180
262,267,Lorient,p227218,Issam,Ben Khemis,Tunisia,Unknown,26,1996-01-10,72,175
263,268,Lorient,p216227,Denis,Bouanga,Gabon,Attacking Midfielder,26,1994-11-11,71,180
264,269,Lorient,p151912,Jimmy,Cabot,France,Winger,27,1994-04-18,65,164
265,270,Lorient,p62226,Maxime,Barthelme,France,Attacking Midfielder,28,1988-09-08,73,176
266,271,Lorient,p37939,Sylvain,Marveaux,France,Attacking Midfielder,31,1986-04-15,66,172
267,272,Lorient,p82184,Abdul Majeed,Waris,Ghana,Striker,9,1991-09-19,70,172
268,273,Lorient,p73678,Benjamin,Moukandjo,Cameroon,Striker,12,1988-11-12,74,180
269,274,Lorient,p11839,Jérémie,Aliadière,France,Striker,14,1983-03-30,70,183
270,275,Lorient,p73667,Benjamin,Jeannot,France,Striker,22,1992-01-22,78,183
271,276,Lorient,p193408,Valentin,Lavigne,France,Striker,28,1994-06-04,75,171
272,277,Lorient,p242167,Pierre-Yves,Hamel,France,Striker,29,1994-03-19,67,185
273,278,Lyon,p59957,Anthony,Lopes,Portugal,Goalkeeper,1,1990-10-01,81,184
274,279,Lyon,p213402,Lucas,Mocio,France,Goalkeeper,16,1994-05-11,85,197
275,280,Lyon,p59956,Mathieu,Gorgelin,France,Goalkeeper,30,1990-08-05,83,187
276,281,Lyon,p44488,Mapou,Yanga-Mbiwa,France,Central Defender,2,1989-05-15,77,184
277,282,Lyon,p52775,Nicolas,Nkoulou,Cameroon,Central Defender,3,1990-03-27,77,180
278,283,Lyon,p54772,Rafael,Pereira da Silva,Brazil,Full Back,4,1990-07-09,78,172
279,284,Lyon,p208135,Mouctar,Diakhaby,France,Central Defender,5,1996-12-19,78,189
280,285,Lyon,p38265,Christophe,Jallet,France,Full Back,13,1983-10-31,70,178
281,286,Lyon,p37832,Jérémy,Morel,France,Full Back,15,1984-04-02,71,172
282,287,Lyon,p234458,Jordy,Gaspar,France,Full Back,23,1997-04-23,58,172
283,288,Lyon,p173211,Emanuel,Mammana,Argentina,Central Defender,24,1996-02-10,70,183
284,289,Lyon,p202888,Dylan,Mboumbouni,France,Unknown,Unknown,1996-02-20,75,182
285,290,Lyon,p165572,Olivier,Kemen,France,Attacking Midfielder,Unknown,1996-07-20,78,177
286,291,Lyon,p55305,Clément,Grenier,France,Attacking Midfielder,7,1991-01-07,72,186
287,292,Lyon,p231961,Houssem,Aouar,France,Central Midfielder,8,1998-06-30,70,175
288,293,Lyon,p168568,Corentin,Tolisso,France,Central Midfielder,8,1994-08-03,81,181
289,294,Lyon,p115858,Rachid,Ghezzal,Algeria,Winger,11,1992-05-09,70,182
290,295,Lyon,p107641,Jordan,Ferri,France,Defensive Midfielder,12,1992-03-12,70,172
291,296,Lyon,p169007,Sergi,Darder,Spain,Central Midfielder,14,1993-12-22,71,180
292,297,Lyon,p59963,Maxime,Gonalons,France,Central Midfielder,21,1989-03-10,76,187
